song,artist
Because You Loved Me,Celine Dion
King's Dead,Jay Rock
The Light Of Christmas Day,Robert Plant and Alison Krauss
Shy Boy,Bananarama
Shake Some Action,Flamin' Groovies
Cruel Summer,Bananarama
Edge Of The Ocean,Ivy
Free Four,Pink Floyd
"Hush, Hush, Sweet Charlotte",Patti Page
Ain't No Stoppin' Us Now,McFadden & Whitehead
Darling Be Home Soon,The Lovin' Spoonful
My Favorite Things,Julie Andrews
Under Pressure,Queen
This Little Light Of Mine,The Seekers
The First Thing You Know,Lee Marvin
High,Feeder
Tuxedo Junction,Glenn Miller
How Does a Moment Last Forever,Celine Dion
A Groovy Kind Of Love,The Mindbenders
I Stand Alone,Godsmack
Tour De France,Kraftwerk
Express,Christina Aguilera
Rubber Biscuit,The Chips
Fresh Feeling,Eels
Elevation,U2
The Man With The Golden Gun,Lulu
In Love Again,Colbie Caillat
It's In The Air,George Formby
Come Saturday Morning,The Sandpipers
Love Is Strange,Mickey & Sylvia
Manhunt,Karen Kamon
Invincible,Pat Benatar
Heart & Soul,Jonas Brothers
One Way Or Another,Blondie
Taper Jean Girl,Kings of Leon
Tried By Twelve,Daniel May
Walking In The Air,Aled Jones
A Case Of You,Joni Mitchell
Heavy Metal,Sammy Hagar
Someone Special,Blaze Kelly Coyle
Yellow Submarine,The Beatles
Shout Bamalama,Otis Redding
Cheer Down,George Harrison
Desiree,Lee Darin
I Can't Drive 55,Sammy Hagar
Invitation To Dance,Kim Carnes
Breakin'... There's No Stopping Us,Ollie & Jerry
Flash Of The Blade,Iron Maiden
The Gypsy Is A Gentleman,Ewan MacColl
There She Goes,Sixpence None the Richer
Tighten Up,Archie Bell & the Drells
You Oughta Be In Pictures,Rudy Vallée
Shallow,Lady Gaga
Comfortably Numb,Pink Floyd
Step By Step,Whitney Houston
It Might Be You,Stephen Bishop
Lonely Day,System of a Down
A Horse With No Name,America
Peggy Sue Got Married,Buddy Holly
Land of 1000 Dances,Chris Kenner
Tell Him,The Exciters
Jeepers Creepers,Louis Armstrong
Greased Lightnin',John Travolta
I'm Just A Kid,Simple Plan
With My Little Ukulele In My Hand,George Formby
Beautifully Broken,Plumb
(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin
Desolation Row,My Chemical Romance
Weird Science,Oingo Boingo
5 Minutes to Live,Johnny Cash
I'm The Ukulele Man,George Formby
Gold,Iggy Pop
Regulate,Warren G. & Nate Dogg
Hero,Chad Kroeger
Stigmata Martyr,Bauhaus
Evermore,Josh Groban
All Summer Long,The Beach Boys
Lady Gypsy,David Brent
The Sewing Machine,Betty Hutton
Exodus,Ernest Gold
Lonesome Town,Rick Nelson
Up Around the Bend,Creedence Clearwater Revival
Hallelujah,Alicia Keys
Glory,John Legend
Believe It or Not,Joey Scarbury
All I Want For Christmas Is You,Mariah Carey
Loneliness #3 (Night Talking),Arcade Fire
No Matter Where You Are ,Us the Duo
Into The Past,Nero
We Both Know,Colbie Caillat
Little Darlin',The Diamonds
The Tracks Of My Tears,The Miracles
Rid Of Me,PJ Harvey
Thank God I'm A Country Boy,John Denver
Use Me,Bill Withers
The Night Before,The Beatles
Trouble Man,Marvin Gaye
The Living Daylights,a-ha
"Luv Me, Luv Me",Shaggy
Night Shift,Quarterflash
Little Bird,Annie Lennox
Mighty River,Mary J. Blige
Home,Nick Jonas
Area Codes,Ludacris
Zero to Hero,Cast of Hercules
Unfinished Sympathy,Massive Attack
"Girl, You'll Be A Woman Soon",Neil Diamond
God Gave Me Everything,Mick Jagger
No Ordinary Love,Sade
Swinging On A Star,Bing Crosby
Street Life,The Crusaders
This is Home,Switchfoot
Pump Up The Jam,Technotronic
This Wheel's On Fire,The Band
Fortunate Son,Creedence Clearwater Revival
I Need To Wake Up,Melissa Etheridge
Hand In My Pocket,Alanis Morissette
The Trolley Song,Judy Garland
A Million Ways to Die,Alan Jackson
Can I Have This Dance,High School Musical Cast
Green Onions,Booker T. & the MG's
How Do I Live,LeAnn Rimes
Raindrops Keep Falling On My Head,B.J. Thomas
Still Falling for You,Ellie Goulding
Incense And Peppermints,Strawberry Alarm Clock
No Expectations,The Rolling Stones
Wild Wild West,Will Smith
Chances Are,Johnny Mathis
It's A Long Way To The Top (If You Wanna Rock 'N' Roll),AC/DC
The King of Broken Hearts,George Strait
Ain't Back Yet,Kenny Chesney
Call Me,Blondie
Once In The Highlands,Cast of Brigadoon
Autumn Leaves,Steve Allen
Cheek To Cheek,Fred Astaire
Love Letters In The Sand,Pat Boone
Perhaps Perhaps Perhaps,Nat King Cole
Nothing,Janet Jackson
Puttin' On the Ritz,Taco
Green Christmas,Barenaked Ladies
This Is My Song,Petula Clark
Tire Me,Rage Against the Machine
Down To The River To Pray,Alison Krauss
Almost Home,Mariah Carey
"Hold On, I'm Comin'",Sam & Dave
Reach Out of the Darkness,Friend & Lover
I Heard It Through the Grapevine,Marvin Gaye
I Have The Touch,Peter Gabriel
Pusherman,Curtis Mayfield
My Gal Sal,Paul Dresser
Mona Lisa,Nat King Cole
My Wish,Rascal Flatts
Pickaninny Heaven,Kate Smith
'Cause I'm Blonde,Julie Brown
This Boy,The Beatles
Feed My Frankenstein,Alice Cooper
Tonight Is What It Means to Be Young,Fire Inc.
As Real as You and Me,Rihanna
Big Shot,Kendrick Lamar
Independent Women Part I,Destiny's Child
There's A Place In The World For A Gambler,Dan Fogelberg
Better Love,Hozier
I Could Not Ask for More,Edwin McCain
Let's Dance,Chris Montez
New Attitude,Patti LaBelle
Aces High,Iron Maiden
Oh! Darling,The Beatles
The Days That We Die,Loudon Wainwright III
I Still See Elisa,Clint Eastwood
Murder By Numbers,The Police
I Want A New Drug,Huey Lewis & the News
Just One Look,Doris Troy
This Woman's Work,Kate Bush
Meet The Flintstones,The B-52s
I Got You Babe,Sonny & Cher
Stay,Oingo Boingo
Cip-Clop,Cast of The Water Gipsies
Old Time Rock And Roll,Bob Seger
To Sir With Love,Lulu
White Christmas,Bing Crosby
Whole Lot of Love,Duffy
If You Don't Want The Goods Don't Maul 'Em,George Formby
Axel F,Harold Faltermeyer
If I Rise,Dido
It's Tricky,Run-D.M.C.
Don't Laugh At Me ('Cause I'm A Fool),Norman Wisdom
4Ever,The Veronicas
Danger,Migos
Brandy (You're a Fine Girl),Looking Glass
Girl For All Seasons,Cast of Grease 2
Who Wants To Live Forever?,Queen
March Of The Men Of Harlech,Traditional
Love Will Keep Us Together,Captain & Tennille
Waving Goodbye,Sia
U.N.I.T.Y.,Queen Latifah
Super Rich Kids,Frank Ocean
Beat On The Brat,Ramones
Check On It,Beyoncé
Her Name Is Alice,Shinedown
Wish I Was Here,Cat Power & Coldplay
Poor Cow,Donovan
Return To Innocence,Enigma
Junk,Paul McCartney
It Will Rain,Bruno Mars
Rhapsody in Blue,George Gershwin
Stardust,David Essex
In A Little Wigan Garden,George Formby
I'm Happy Just To Dance With You,The Beatles
Counting Blue Cars,Dishwalla
Katmandu,Bob Seger
An Ending (Ascent),Brian Eno
Needle In The Hay,Elliott Smith
More Time,Needtobreathe
Take Five,The Dave Brubeck Quartet
Little Bit O' Soul,The Music Explosion
Metal Health,Quiet Riot
Speak To Me Pretty,Brenda Lee
They Can't Take That Away from Me,Fred Astaire
Volunteers,Jefferson Airplane
What About Us,Ministry
Painted on My Heart,The Cult
St. Louis Blues,Bessie Smith
Bad Medicine,Bon Jovi
A Thousand Dreams Of You,Louis Alter and Paul Webster
Gun Woman,Asami
"Signed, Sealed, Delivered I'm Yours",Stevie Wonder
Drinking Song,Mario Lanza
The Crying Game,Dave Berry
A Whole New World (Aladdin's Theme),Peabo Bryson and Regina Belle
We Remain,Christina Aguilera
At The Hop,Danny & the Juniors
All Along The Watchtower,Jimi Hendrix
Separate Lives,Phil Collins and Marilyn Martin
You Can't Always Get What You Want,The Rolling Stones
Secret Garden,Bruce Springsteen
Ramblin' Rose,MC5
"Baby, Now That I've Found You",The Foundations
Fly with Me,Jonas Brothers
To Live And Die In LA,Wang Chung
Christmas (Baby Please Come Home),Darlene Love
Last Action Hero,Tesla
Crazy For You,Madonna
New Slang,The Shins
Back In Black,AC/DC
Playing with Fire,Plan B
"See Me, Feel Me",The Who
Bang Bang,will.i.am
Play With Me,Extreme
Johnny B. Goode,Chuck Berry
I Feel Pretty,West Side Story Cast Ensemble
"Bad, Bad Leroy Brown",Jim Croce
Unsteady,X Ambassadors
You Can Get It All,Bow Wow
Chances Are,Garrett Hedlund
True,Spandau Ballet
Island,Mastodon
Everything Is Awesome,Tegan and Sara
God's Not Dead (Like A Lion),Newsboys
Let It Loose,The Rolling Stones
Rainy Day Women #12 And #35,Bob Dylan
I Say a Little Prayer,Dionne Warwick
Wide Awake,Audioslave
Turn The Beat Around,Vicki Sue Robinson
Perfect,Simple Plan
Back to Tennessee,Billy Ray Cyrus
Habanera,Georges Bizet
Lean,The National
Brand New Gun,Donovan Woods
Gravity,Tim McGraw
Stayin' Alive,Bee Gees
Father And Son,Cat Stevens
Good Times,The Easybeats
Something Changed,Pulp
Super Freak,Rick James
California Sun,The Rivieras
For You,Liam Payne & Rita Ora
She Got the Goldmine (I Got the Shaft),Jerry Reed
All I've Ever Needed,AJ Michalka
Pocketful Of Sunshine,Natasha Bedingfield
Be Like That,3 Doors Down
Dream of a Witches' Sabbath,Hector Berlioz
Show Me The Way To Go Home,Irving King
Dream Girl,Hunter Hayes
City of Angels,30 Seconds to Mars
Car Wash,Rose Royce
Audition (The Fools Who Dream),Emma Stone
Just Like Honey,The Jesus and Mary Chain
Dark & Long,Underworld
Here Comes My Baby,The Tremeloes
Ship Of Fools,World Party
Shadowplay,The Killers
Days Go By,Lifehouse
My Father's Gun,Elton John
Iko Iko,The Dixie Cups
I'll Tumble 4 Ya,Culture Club
Lush Life,Billy Strayhorn
Hopelessly Devoted To You,Olivia Newton-John
I Wanna Be Sedated,Ramones
Who Feelin' It,Tom Tom Club
Old Habits Die Hard,Mick Jagger
One Of Us,Joan Osborne
Move On Up,Curtis Mayfield
The Walker,Fitz and the Tantrums
Home,Westlife
Capital Letters,Hailee Steinfeld
Footloose,Kenny Loggins
Let's Stay Together,Al Green
Don't Stop Believin',Journey
Honor is Ours,Swamp Daddy's
How Long Will I Love You,Ellie Goulding
A Second Hand Turban And A Crystal Ball,Bing Crosby
Can't Even Tell,Soul Asylum
You'll Be In My Heart,Phil Collins
Night Train,James Brown
Boom Clap,Charli XCX
Dead in the Water,Ellie Goulding
Evil Hearted Woman Blues,Johnny Shines
Love Is All Around,The Troggs
Ruby,Ray Charles
Star Mile,Joshua Radin
Our Love Is Here To Stay,George Gershwin
Don't Sit Under The Apple Tree (With Anyone Else But Me),The Andrews Sisters
I Will Survive,Gloria Gaynor
I Put A Spell On You,Screamin' Jay Hawkins
Romeo And Juliet Fantasy Overture Love Theme,Pyotr Il'yich Tchaikovsky
Abraham's Daughter,Arcade Fire
Love Love,Take That
On the Road Again,Willie Nelson
See That Boy Again,Mary J. Blige
Dream On,Aerosmith
Against All Odds (Take A Look At Me Now),Phil Collins
Twisted,Stevie Nicks
Truth to Power,OneRepublic
Love Is A Battlefield,Pat Benatar
"One Time, One Night",Los Lobos
Night Fever,Bee Gees
Always Look On The Bright Side Of Life,Monty Python
Never Enough,Loren Allred
You,Candlebox
You Haven't Seen The Last Of Me,Cher
Grateful,Rita Ora
Beyond The Sea,Bobby Darin
Pack Up Your Troubles In Your Old Kit Bag,Helen Clark
California Dreamin',The Mamas & the Papas
Gun Metal Grey,Chase & Status
On The Dark Side,John Cafferty & the Beaver Brown Band
What the World Needs Now Is Love,Jackie DeShannon
I Don't Want A Lover,Texas
Wreak Havoc,Skylar Grey
Saturday In The Park,Chicago
Never Let You Down,Woodkid
The Touch,Stan Bush
Try Everything,Shakira
Do You Want to Build A Snowman?,"Kristen Bell, Agatha Lee Monn, and Katie Lopez"
That's The Way,Led Zeppelin
The Man Comes Around,Johnny Cash
Hey Joe,Jimi Hendrix
Thank You,Dido
Rock And Roll Part 2,Gary Glitter
Wake Me Up Before You Go-Go,Wham!
I Wanna Be Adored,The Stone Roses
"Please, Please, Please, Let Me Get What I Want",The Smiths
Bad Case of Loving You,Robert Palmer
"What Have They Done to My Song, Ma",Melanie
Canned Heat,Jamiroquai
If God Will Send His Angels,U2
Sinnerman,Nina Simone
Bad Girls,Donna Summer
It's Hard Out Here For A Pimp,Three 6 Mafia
Because I Got High,Afroman
Two Of Us,The Beatles
Centerfold,J. Geils Band
I Saw Mommy Kissing Santa Claus,Jimmy Boyd
Strong Enough,Sheryl Crow
(Love Is Like a) Heat Wave,Martha & the Vandellas
Night And Day,Frank Sinatra
Lust For Life,Iggy Pop
That's The Way Of The World,"Earth, Wind & Fire"
What A Wonderful World,Louis Armstrong
Go Now,The Moody Blues
Hey Ma,Pitbull
Over The Rainbow,Judy Garland
Bad to the Bone,George Thorogood
Romeo And Juliet,Dire Straits
We'll Be Together,Sting
Come And Get It,Badfinger
The Big Unknown,Sade
I Am Woman,Helen Reddy
"Hello, Hello",Elton John and Lady Gaga
My Heart Will Go On,Celine Dion
Paranoid,Black Sabbath
Mannish Boy,Muddy Waters
No Strings,Chlöe Howl
Immigrant Song,Led Zeppelin
You'll Always Find Your Way Back Home,Hannah Montana
Maxwell's Silver Hammer,The Beatles
The Perfect Drug,Nine Inch Nails
Guilty,Newsboys
Ordinary Love,U2
Ghostbusters,"Ray Parker, Jr."
Johnny Angel,Shelley Fabares
We Own It (Fast & Furious),2 Chainz
Blitzkrieg Bop,Ramones
Let The Bass Go,Snoop Dogg
(Theme from) Valley of the Dolls,Dionne Warwick
Beauty and the Beast,Celine Dion
I Dreamed A Dream,Anne Hathaway
You Make My Dreams,Hall & Oates
Native New Yorker,Odyssey
Under The Milky Way,The Church
Theme From Shaft,Isaac Hayes
September,"Earth, Wind & Fire"
Stuck Inside of Mobile with the Memphis Blues Again,Bob Dylan
Alfie,Dionne Warwick
Lookin' For Love,Johnny Lee
Leaning On A Lamp-Post,George Formby
Wherever Love Takes Me,Maureen McGovern
Bennie And The Jets,Elton John
You're The One That I Want,John Travolta and Olivia Newton-John
Run for Your Life,K.Flay
Papa's Got A Brand New Bag,James Brown
Somebody To Love,Queen
I'll Never Love Again,Lady Gaga
"Que Sera, Sera (Whatever Will Be, Will Be)",Doris Day
"Shake, Rattle And Roll",Big Joe Turner
Derezzed,Daft Punk
Carnival,Natalie Merchant
This Is Our Song,Demi Lovato
Money (That's What I Want),Barrett Strong
Rescue Me,Fontella Bass
Only God Knows,Young Fathers
That's What Friends Are For,Dionne & Friends
Bad Moon Rising,Creedence Clearwater Revival
Heroes,David Bowie
Mistletoe,Colbie Caillat
Sensation,The Who
Can't Fight The Moonlight,LeAnn Rimes
Promised You a Miracle,Simple Minds
Fire Water Burn,Bloodhound Gang
Obsession,Animotion
Here I Go Again,Whitesnake
Passion,Brother Yusef
Me And Mrs. Jones,Billy Paul
Live And Let Die,Paul McCartney & Wings
Jailhouse Rock,Elvis Presley
Chain Of Fools,Aretha Franklin
Mike The Headless Chicken,Frank Meyer
My Iron Lung,Radiohead
Orinoco Flow (Sail Away),Enya
Why,Annie Lennox
Stay,Pink Floyd
Simple Song #3,Sumi Jo
"Guide Me, O Thou Great Redeemer",Caerphilly Male Voice Choir
Sparks,Coldplay
I See You,Leona Lewis
May It Be,Enya
Jessie's Girl,Rick Springfield
Strawberry Letter 23,The Brothers Johnson
Theme From A Summer Place,Percy Faith
People Are Strange,The Doors
Long Cool Woman (In A Black Dress),The Hollies
The Power of Love,Huey Lewis & the News
Limelight,Rush
The Reflex,Duran Duran
Your Song,Elton John
Hypnotised,Years & Years
Eye of the Tiger,Survivor
Summer In The City,The Lovin' Spoonful
A Hard Day's Night,The Beatles
Tubular Bells (Part 1),Mike Oldfield
The Color Of The Night,Lauren Christy
Let My Love Open The Door,Pete Townshend
(Hey) Fancy Pants!,Annette Warren
Hand Cover Bruise,Trent Reznor and Atticus Ross
Squeeze Me,N.E.R.D
Vienna,Billy Joel
The Circle Game,Joni Mitchell
The 2nd Law: Isolated System,Muse
Forget to Remember,Mudvayne
For All We Know,Carpenters
"I'm Not A Girl, Not Yet A Woman",Britney Spears
Who Needs It,Hazel O'Connor
Town Without Pity,Gene Pitney
Do You Feel Me?,Anthony Hamilton
1 Thing,Amerie
Whole Wide World,Wreckless Eric
Never Gonna Give You Up,Rick Astley
Desolation Row,Bob Dylan
Breathless,Jerry Lee Lewis
Working For The Weekend,Loverboy
One for My Baby (and One More for the Road),Fred Astaire
I Will Not Bow,Breaking Benjamin
Out Out,Peter Gabriel
I Remain,Alanis Morissette
The Entertainer,Scott Joplin
Coffee & TV,Blur
Memo From Turner,The Rolling Stones
Mary's Prayer,Danny Wilson
The Great Beyond,R.E.M.
Eyes Open,Taylor Swift
You Know My Name,Chris Cornell
Bother You,D'banj
Run To You,Whitney Houston
After All,Cher and Peter Cetera
"Hold Me, Thrill Me, Kiss Me, Kill Me",U2
Rewrite the Stars,Zac Efron
Low,Flo Rida
Breakdown,Tom Petty & the Heartbreakers
It's A Small World,Disneyland Children's Sing-Along Chorus
Diamonds Are Forever,Shirley Bassey
A Country Called Home,Ryan Bingham
I'm In Love,Aretha Franklin
Everyday I Write The Book,Elvis Costello
I Have Confidence,Julie Andrews
Back in Time,Huey Lewis & the News
Spider-Man Theme,Various
No More Drama,Mary J. Blige
My Bonnie Lies Over The Ocean,Traditional
Here It Comes,Emeli Sandé & Rick Smith
Love Song For A Vampire,Annie Lennox
Absolute Beginners,David Bowie
Sorry Seems To Be The Hardest Word,Elton John
In The Wee Small Hours Of The Morning,Frank Sinatra
Friday I'm In Love,The Cure
A Million Stars,Andy McCluskey
Boot Scootin' Boogie,Brooks & Dunn
Hyperactive,Robert Palmer
Flash Light,Parliament
Lovesong,The Cure
Sweet Freedom,Michael McDonald
I Hate Myself For Loving You,Joan Jett
I Believe,DJ Khaled
The Look Of Love,Dusty Springfield
I Believe I Can Fly,R. Kelly
Cherry Bomb,The Runaways
Fly Too High,Janis Ian
Jumpin' Jack Flash,The Rolling Stones
Ooh Ahh (My Life Be Like),Grits
On The Beach,Cliff Richard
Touch Me in the Morning,Diana Ross
Beat It,Michael Jackson
Kids In America,Kim Wilde
Linger,The Cranberries
Gold Fever,Clint Eastwood
America,Simon & Garfunkel
The Gospel Of No Name City,Cast of Paint Your Wagon
Fisherman's Blues,The Waterboys
Au Claire De La Lune,Traditional
Another Dumb Blonde,Hoku
True Love,Bing Crosby
Flying,The Beatles
(Let Me Be Your) Teddy Bear,Elvis Presley
Shame,"Evelyn ""Champagne"" King"
End of the Road,Boyz II Men
Easy Money,Billy Joel
"Love, Reign O'er Me",The Who
Woman of the World,Amy MacDonald
We Can Work It Out,The Beatles
(I've Had) The Time of My Life,Bill Medley & Jennifer Warnes
Just a Game,Birdy
Everything to Lose,Dido
Steal Away,Robbie Dupree
Friends For Life,Rhett Akins
One Vision,Queen
Sweet Old World,Lucinda Williams
Taste The Pain,Red Hot Chili Peppers
Gimme Some Lovin',The Spencer Davis Group
Hungry Eyes,Eric Carmen
Alexander's Ragtime Band,Irving Berlin
Bachelor Boy,Cliff Richard
Skyfall,Adele
Hold the Light,Dierks Bentley
Will You?,Hazel O'Connor
"Hail, Rail Or Sunshine",The Script
Ironic,Alanis Morissette
If You Wanna Be Happy,Jimmy Soul
Fairytale of New York,The Pogues
Skip To My Lou,Traditional
October,U2
The Empty Chair,Sting
Welcome To The Jungle,Guns N' Roses
A Taste of Honey,Herb Alpert
Your Hand I Will Never Let It Go,Stevie Nicks
What's This Life For,Creed
Love Me Tender,Elvis Presley
